SNO,DATE,PARTICULAR,AMT
1,2023-09-14,VI(HS1189),7000
2,2023-09-14,VI(AK1189),7000
3,2023-09-14,VI(AK1189),7000
4,2023-09-14,KAFALA(0716),5000
